1;regiao;cpf;numero_ sequencial_de_voto;codigo_do_ municipio;codigo_candidato_ federal;codigo_do_partido_ federal;codigo_do_candidato_ regional;codigo_do_partidido_ regional
2;PA;704851661;1;66;1;30;2;12;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
2;PA;704851661;1;66;1;30;2;1
